count_date,dam_id,fish_id,count
2015-01-20,9,1,0
2015-01-20,4,4,22
2015-01-20,4,3,38
2015-01-20,4,9,0
2015-01-20,4,8,0
2015-01-20,3,2,0
2015-01-20,3,8,0
2015-01-20,3,9,0
2015-01-20,3,3,9
2015-01-20,3,4,0
2015-01-20,3,6,0
2015-01-20,3,7,0
2015-01-20,,,
2015-01-20,4,1,0
2015-01-20,3,5,0
2015-01-20,4,5,0
2015-01-20,4,7,0
2015-01-20,4,6,0
2015-01-20,4,2,0
2015-01-20,3,1,0
2015-01-20,9,5,0
2015-01-20,9,7,0
2015-01-21,9,8,0
2015-01-21,,,
2015-01-21,9,5,0
2015-01-21,9,7,0
2015-01-21,9,6,0
2015-01-21,9,4,0
2015-01-21,9,3,2
2015-01-21,9,9,0
2015-01-21,9,2,0
2015-01-21,9,1,0
2015-01-21,4,1,0
2015-01-21,4,2,0
2015-01-21,4,8,0
2015-01-21,4,9,0
2015-01-21,4,3,15
2015-01-21,4,4,8
2015-01-21,4,6,0
2015-01-21,4,7,0
2015-01-21,4,5,0
2015-01-21,3,5,0
2015-01-21,3,7,0
2015-01-21,3,6,0
2015-01-21,3,4,0
2015-01-21,3,3,18
2015-01-21,3,9,0
2015-01-21,3,8,0
2015-01-21,3,2,0
2015-01-21,3,1,0
2015-01-22,9,7,0
2015-01-22,9,6,0
2015-01-22,9,4,1
2015-01-22,9,3,4
2015-01-22,9,9,0
2015-01-22,9,8,0
2015-01-22,9,2,0
2015-01-22,9,1,0
2015-01-22,3,1,0
2015-01-22,3,2,0
2015-01-22,,,
2015-01-22,3,5,0
2015-01-22,3,7,0
2015-01-22,3,6,0
2015-01-22,3,4,0
2015-01-22,3,3,29
2015-01-22,3,9,0
2015-01-22,3,8,0
2015-01-22,4,5,0
2015-01-22,4,7,0
2015-01-22,4,6,0
2015-01-22,4,4,7
2015-01-22,4,3,12
2015-01-22,4,9,0
2015-01-22,4,8,0
2015-01-22,4,2,0
2015-01-22,4,1,0
2015-01-22,9,5,0
2015-01-23,4,1,0
2015-01-23,9,5,0
2015-01-23,9,7,0
2015-01-23,9,6,0
2015-01-23,9,4,2
